,Year Mnth Day Hr,prcp(mm/day)
242,1980 08 30 12,0.0
243,1980 08 31 12,6.1
244,1980 09 01 12,0.0
245,1980 09 02 12,0.0
246,1980 09 03 12,0.0
247,1980 09 04 12,0.03
248,1980 09 05 12,6.91
249,1980 09 06 12,6.45
250,1980 09 07 12,0.2
251,1980 09 08 12,0.0
252,1980 09 09 12,0.0
253,1980 09 10 12,0.0
254,1980 09 11 12,0.0
255,1980 09 12 12,0.0
256,1980 09 13 12,0.22
257,1980 09 14 12,0.0
258,1980 09 15 12,0.0
259,1980 09 16 12,0.0
260,1980 09 17 12,11.6
261,1980 09 18 12,7.67
262,1980 09 19 12,0.0
263,1980 09 20 12,0.0
264,1980 09 21 12,0.0
265,1980 09 22 12,0.0
266,1980 09 23 12,0.0
267,1980 09 24 12,0.0
268,1980 09 25 12,0.0
269,1980 09 26 12,14.56
270,1980 09 27 12,0.0
271,1980 09 28 12,0.0
272,1980 09 29 12,8.55
273,1980 09 30 12,37.24
274,1980 10 01 12,0.0
275,1980 10 02 12,0.0
276,1980 10 03 12,0.0
277,1980 10 04 12,0.0
278,1980 10 05 12,0.0
279,1980 10 06 12,0.0
280,1980 10 07 12,0.0
281,1980 10 08 12,0.0
282,1980 10 09 12,0.0
283,1980 10 10 12,0.0
284,1980 10 11 12,0.0
285,1980 10 12 12,0.0
286,1980 10 13 12,0.0
287,1980 10 14 12,0.0
288,1980 10 15 12,0.0
289,1980 10 16 12,0.0
290,1980 10 17 12,0.0
291,1980 10 18 12,36.75
292,1980 10 19 12,51.36
293,1980 10 20 12,0.0
294,1980 10 21 12,0.0
295,1980 10 22 12,0.0
296,1980 10 23 12,0.0
297,1980 10 24 12,2.93
298,1980 10 25 12,0.0
299,1980 10 26 12,0.0
300,1980 10 27 12,0.0
301,1980 10 28 12,31.54
302,1980 10 29 12,4.09
303,1980 10 30 12,0.25
304,1980 10 31 12,0.0
305,1980 11 01 12,0.0
306,1980 11 02 12,0.0
307,1980 11 03 12,0.0
308,1980 11 04 12,0.0
309,1980 11 05 12,0.0
310,1980 11 06 12,0.0
311,1980 11 07 12,0.0
312,1980 11 08 12,0.0
313,1980 11 09 12,0.0
314,1980 11 10 12,0.0
315,1980 11 11 12,0.0
316,1980 11 12 12,0.0
317,1980 11 13 12,0.0
318,1980 11 14 12,0.0
319,1980 11 15 12,6.68
320,1980 11 16 12,0.0
321,1980 11 17 12,8.7
322,1980 11 18 12,0.0
323,1980 11 19 12,0.0
324,1980 11 20 12,0.0
325,1980 11 21 12,0.0
326,1980 11 22 12,12.88
327,1980 11 23 12,30.68
328,1980 11 24 12,0.0
329,1980 11 25 12,0.0
330,1980 11 26 12,42.04
331,1980 11 27 12,3.02
332,1980 11 28 12,0.0
333,1980 11 29 12,0.0
334,1980 11 30 12,0.0
335,1980 12 01 12,0.0
336,1980 12 02 12,0.0
337,1980 12 03 12,0.0
338,1980 12 04 12,0.0
339,1980 12 05 12,0.0
340,1980 12 06 12,0.0
341,1980 12 07 12,0.0
342,1980 12 08 12,0.0
343,1980 12 09 12,0.0
344,1980 12 10 12,32.97
345,1980 12 11 12,0.0
346,1980 12 12 12,0.0
347,1980 12 13 12,0.0
348,1980 12 14 12,0.0
349,1980 12 15 12,0.0
350,1980 12 16 12,0.15
351,1980 12 17 12,0.0
352,1980 12 18 12,0.0
353,1980 12 19 12,0.0
354,1980 12 20 12,1.66
355,1980 12 21 12,0.0
356,1980 12 22 12,0.0
357,1980 12 23 12,0.0
358,1980 12 24 12,10.07
359,1980 12 25 12,0.0
360,1980 12 26 12,0.0
361,1980 12 27 12,0.0
362,1980 12 28 12,0.0
363,1980 12 29 12,0.0
364,1980 12 30 12,0.0
365,1980 12 31 12,0.0
366,1981 01 01 12,0.0
367,1981 01 02 12,0.0
368,1981 01 03 12,0.0
369,1981 01 04 12,0.0
370,1981 01 05 12,0.0
371,1981 01 06 12,0.0
372,1981 01 07 12,14.06
373,1981 01 08 12,0.0
374,1981 01 09 12,0.0
375,1981 01 10 12,0.0
376,1981 01 11 12,0.0
377,1981 01 12 12,0.0
378,1981 01 13 12,0.0
379,1981 01 14 12,0.0
380,1981 01 15 12,0.0
381,1981 01 16 12,0.0
382,1981 01 17 12,0.0
383,1981 01 18 12,0.0
384,1981 01 19 12,0.0
385,1981 01 20 12,7.01
386,1981 01 21 12,3.33
387,1981 01 22 12,0.0
388,1981 01 23 12,0.0
389,1981 01 24 12,0.0
390,1981 01 25 12,0.0
391,1981 01 26 12,0.0
392,1981 01 27 12,0.0
393,1981 01 28 12,2.68
394,1981 01 29 12,0.0
395,1981 01 30 12,0.0
396,1981 01 31 12,0.0
397,1981 02 01 12,11.98
398,1981 02 02 12,27.64
399,1981 02 03 12,0.0
400,1981 02 04 12,0.0
401,1981 02 05 12,17.03
402,1981 02 06 12,48.99
403,1981 02 07 12,0.0
404,1981 02 08 12,0.0
405,1981 02 09 12,0.0
406,1981 02 10 12,80.46
407,1981 02 11 12,27.81
408,1981 02 12 12,0.0
409,1981 02 13 12,0.0
410,1981 02 14 12,0.0
411,1981 02 15 12,6.15
412,1981 02 16 12,7.79
413,1981 02 17 12,7.28
414,1981 02 18 12,0.0
415,1981 02 19 12,0.0
416,1981 02 20 12,0.0
417,1981 02 21 12,0.0
418,1981 02 22 12,3.74
419,1981 02 23 12,0.0
420,1981 02 24 12,0.0
421,1981 02 25 12,0.0
422,1981 02 26 12,0.0
423,1981 02 27 12,0.0
424,1981 02 28 12,0.0
425,1981 03 01 12,0.0
426,1981 03 02 12,0.0
427,1981 03 03 12,0.0
428,1981 03 04 12,11.81
429,1981 03 05 12,19.44
430,1981 03 06 12,0.0
431,1981 03 07 12,0.0
432,1981 03 08 12,0.0
433,1981 03 09 12,0.0
434,1981 03 10 12,0.0
435,1981 03 11 12,0.0
436,1981 03 12 12,0.0
437,1981 03 13 12,1.3
438,1981 03 14 12,0.0
439,1981 03 15 12,0.0
440,1981 03 16 12,0.0
441,1981 03 17 12,0.0
442,1981 03 18 12,0.0
443,1981 03 19 12,0.0
444,1981 03 20 12,0.0
445,1981 03 21 12,0.0
446,1981 03 22 12,26.58
447,1981 03 23 12,2.64
448,1981 03 24 12,0.0
449,1981 03 25 12,0.0
450,1981 03 26 12,0.0
451,1981 03 27 12,0.0
452,1981 03 28 12,0.0
453,1981 03 29 12,13.61
454,1981 03 30 12,45.1
455,1981 03 31 12,0.0
456,1981 04 01 12,2.38
457,1981 04 02 12,0.0
458,1981 04 03 12,0.0
459,1981 04 04 12,0.0
460,1981 04 05 12,5.78
461,1981 04 06 12,0.0
462,1981 04 07 12,0.0
463,1981 04 08 12,0.0
464,1981 04 09 12,0.0
465,1981 04 10 12,0.0
466,1981 04 11 12,0.0
467,1981 04 12 12,0.0
468,1981 04 13 12,0.0
469,1981 04 14 12,0.0
470,1981 04 15 12,0.0
471,1981 04 16 12,0.0
472,1981 04 17 12,0.0
473,1981 04 18 12,0.0
474,1981 04 19 12,0.0
475,1981 04 20 12,0.0
476,1981 04 21 12,0.0
477,1981 04 22 12,0.0
478,1981 04 23 12,0.0
479,1981 04 24 12,13.06
480,1981 04 25 12,0.0
481,1981 04 26 12,0.0
482,1981 04 27 12,0.0
483,1981 04 28 12,0.0
484,1981 04 29 12,0.0
485,1981 04 30 12,0.11
486,1981 05 01 12,6.17
487,1981 05 02 12,0.0
488,1981 05 03 12,0.0
489,1981 05 04 12,0.0
490,1981 05 05 12,42.29
491,1981 05 06 12,10.5
492,1981 05 07 12,0.0
493,1981 05 08 12,0.0
494,1981 05 09 12,0.0
495,1981 05 10 12,9.64
496,1981 05 11 12,0.0
497,1981 05 12 12,0.0
498,1981 05 13 12,0.0
499,1981 05 14 12,5.6
500,1981 05 15 12,0.0
501,1981 05 16 12,0.0
502,1981 05 17 12,3.53
503,1981 05 18 12,0.0
504,1981 05 19 12,4.16
505,1981 05 20 12,0.0
506,1981 05 21 12,0.0
507,1981 05 22 12,0.0
508,1981 05 23 12,0.0
509,1981 05 24 12,0.0
510,1981 05 25 12,0.0
511,1981 05 26 12,46.86
512,1981 05 27 12,0.0
513,1981 05 28 12,0.0
514,1981 05 29 12,0.0
515,1981 05 30 12,0.0
516,1981 05 31 12,0.0
517,1981 06 01 12,29.59
518,1981 06 02 12,18.61
519,1981 06 03 12,20.0
520,1981 06 04 12,0.0
521,1981 06 05 12,0.0
522,1981 06 06 12,14.26
523,1981 06 07 12,11.95
524,1981 06 08 12,2.95
525,1981 06 09 12,0.0
526,1981 06 10 12,0.0
527,1981 06 11 12,11.89
528,1981 06 12 12,14.73
529,1981 06 13 12,0.09
530,1981 06 14 12,0.0
531,1981 06 15 12,0.0
532,1981 06 16 12,0.0
533,1981 06 17 12,0.0
534,1981 06 18 12,0.0
535,1981 06 19 12,0.0
536,1981 06 20 12,0.0
537,1981 06 21 12,0.0
538,1981 06 22 12,0.0
539,1981 06 23 12,0.0
540,1981 06 24 12,13.35
541,1981 06 25 12,8.22
542,1981 06 26 12,0.0
543,1981 06 27 12,0.0
544,1981 06 28 12,0.0
545,1981 06 29 12,0.0
546,1981 06 30 12,0.0
547,1981 07 01 12,0.0
548,1981 07 02 12,39.23
549,1981 07 03 12,34.95
550,1981 07 04 12,0.0
551,1981 07 05 12,17.75
552,1981 07 06 12,26.59
553,1981 07 07 12,1.07
554,1981 07 08 12,0.0
555,1981 07 09 12,0.0
556,1981 07 10 12,0.0
557,1981 07 11 12,4.85
558,1981 07 12 12,0.0
559,1981 07 13 12,0.0
560,1981 07 14 12,0.0
561,1981 07 15 12,0.0
562,1981 07 16 12,0.0
563,1981 07 17 12,0.0
564,1981 07 18 12,0.0
565,1981 07 19 12,0.0
566,1981 07 20 12,0.0
567,1981 07 21 12,0.0
568,1981 07 22 12,0.0
569,1981 07 23 12,0.0
570,1981 07 24 12,0.0
571,1981 07 25 12,0.0
572,1981 07 26 12,0.0
573,1981 07 27 12,0.0
574,1981 07 28 12,1.03
575,1981 07 29 12,0.0
576,1981 07 30 12,14.33
577,1981 07 31 12,0.0
578,1981 08 01 12,0.0
579,1981 08 02 12,10.73
580,1981 08 03 12,3.37
581,1981 08 04 12,0.0
582,1981 08 05 12,0.0
583,1981 08 06 12,0.0
584,1981 08 07 12,0.0
585,1981 08 08 12,4.76
586,1981 08 09 12,0.0
587,1981 08 10 12,0.0
588,1981 08 11 12,0.0
589,1981 08 12 12,0.0
590,1981 08 13 12,0.82
591,1981 08 14 12,0.0
592,1981 08 15 12,0.0
593,1981 08 16 12,0.01
594,1981 08 17 12,0.0
595,1981 08 18 12,15.98
596,1981 08 19 12,21.22
597,1981 08 20 12,18.54
598,1981 08 21 12,0.0
599,1981 08 22 12,0.0
600,1981 08 23 12,1.01
601,1981 08 24 12,0.0
602,1981 08 25 12,0.0
603,1981 08 26 12,0.0
604,1981 08 27 12,0.0
605,1981 08 28 12,3.15
606,1981 08 29 12,10.45
607,1981 08 30 12,18.47
608,1981 08 31 12,12.62
609,1981 09 01 12,10.54
610,1981 09 02 12,10.73
611,1981 09 03 12,17.35
612,1981 09 04 12,16.3
613,1981 09 05 12,0.0
614,1981 09 06 12,0.0
615,1981 09 07 12,0.0
616,1981 09 08 12,0.0
617,1981 09 09 12,0.0
618,1981 09 10 12,0.0
619,1981 09 11 12,0.0
620,1981 09 12 12,0.0
621,1981 09 13 12,0.0
622,1981 09 14 12,5.21
623,1981 09 15 12,16.76
624,1981 09 16 12,16.66
625,1981 09 17 12,0.0
626,1981 09 18 12,0.0
627,1981 09 19 12,0.0
628,1981 09 20 12,0.0
629,1981 09 21 12,0.0
630,1981 09 22 12,0.0
631,1981 09 23 12,0.0
632,1981 09 24 12,0.0
633,1981 09 25 12,0.0
634,1981 09 26 12,0.0
635,1981 09 27 12,0.0
636,1981 09 28 12,0.0
637,1981 09 29 12,0.0
638,1981 09 30 12,0.0
639,1981 10 01 12,0.0
640,1981 10 02 12,2.25
641,1981 10 03 12,0.0
642,1981 10 04 12,0.0
643,1981 10 05 12,0.0
644,1981 10 06 12,0.0
645,1981 10 07 12,0.0
646,1981 10 08 12,0.0
647,1981 10 09 12,19.04
648,1981 10 10 12,15.9
649,1981 10 11 12,0.0
650,1981 10 12 12,0.0
651,1981 10 13 12,0.0
652,1981 10 14 12,0.0
653,1981 10 15 12,0.0
654,1981 10 16 12,0.0
655,1981 10 17 12,0.0
656,1981 10 18 12,0.0
657,1981 10 19 12,0.0
658,1981 10 20 12,0.0
659,1981 10 21 12,0.0
660,1981 10 22 12,0.0
661,1981 10 23 12,2.38
662,1981 10 24 12,0.91
663,1981 10 25 12,4.89
664,1981 10 26 12,15.09
665,1981 10 27 12,0.0
666,1981 10 28 12,0.0
667,1981 10 29 12,0.0
668,1981 10 30 12,0.0
669,1981 10 31 12,0.0
670,1981 11 01 12,0.0
671,1981 11 02 12,0.0
672,1981 11 03 12,0.0
673,1981 11 04 12,4.5
674,1981 11 05 12,0.0
675,1981 11 06 12,0.0
676,1981 11 07 12,0.0
677,1981 11 08 12,0.0
678,1981 11 09 12,0.59
679,1981 11 10 12,0.0
680,1981 11 11 12,0.0
681,1981 11 12 12,0.0
682,1981 11 13 12,0.0
683,1981 11 14 12,0.0
684,1981 11 15 12,0.0
685,1981 11 16 12,0.0
686,1981 11 17 12,0.0
687,1981 11 18 12,0.0
688,1981 11 19 12,0.0
689,1981 11 20 12,4.66
690,1981 11 21 12,0.0
691,1981 11 22 12,0.0
692,1981 11 23 12,0.0
693,1981 11 24 12,4.14
694,1981 11 25 12,0.0
695,1981 11 26 12,0.0
696,1981 11 27 12,0.0
697,1981 11 28 12,0.0
698,1981 11 29 12,0.0
699,1981 11 30 12,11.17
700,1981 12 01 12,20.83
701,1981 12 02 12,0.0
702,1981 12 03 12,0.0
703,1981 12 04 12,0.0
704,1981 12 05 12,0.0
705,1981 12 06 12,0.0
706,1981 12 07 12,0.0
707,1981 12 08 12,0.0
708,1981 12 09 12,0.0
709,1981 12 10 12,0.0
710,1981 12 11 12,0.0
711,1981 12 12 12,13.87
712,1981 12 13 12,11.2
713,1981 12 14 12,38.33
714,1981 12 15 12,5.41
715,1981 12 16 12,0.0
716,1981 12 17 12,0.0
717,1981 12 18 12,6.11
718,1981 12 19 12,0.0
719,1981 12 20 12,0.0
720,1981 12 21 12,3.04
721,1981 12 22 12,1.49
722,1981 12 23 12,7.72
723,1981 12 24 12,20.09
724,1981 12 25 12,17.43
725,1981 12 26 12,0.0
726,1981 12 27 12,0.84
727,1981 12 28 12,0.05
728,1981 12 29 12,12.27
729,1981 12 30 12,0.0
730,1981 12 31 12,24.55
731,1982 01 01 12,0.0
732,1982 01 02 12,0.0
733,1982 01 03 12,15.01
734,1982 01 04 12,6.4
735,1982 01 05 12,0.0
736,1982 01 06 12,0.0
737,1982 01 07 12,18.59
738,1982 01 08 12,20.92
739,1982 01 09 12,0.0
740,1982 01 10 12,0.0
741,1982 01 11 12,0.0
742,1982 01 12 12,12.95
743,1982 01 13 12,27.3
744,1982 01 14 12,13.32
745,1982 01 15 12,0.0
746,1982 01 16 12,3.05
747,1982 01 17 12,0.0
748,1982 01 18 12,0.0
749,1982 01 19 12,0.0
750,1982 01 20 12,0.0
751,1982 01 21 12,0.0
752,1982 01 22 12,0.0
753,1982 01 23 12,7.11
754,1982 01 24 12,0.0
755,1982 01 25 12,0.0
756,1982 01 26 12,0.0
757,1982 01 27 12,0.0
758,1982 01 28 12,13.66
759,1982 01 29 12,0.0
760,1982 01 30 12,0.0
761,1982 01 31 12,7.97
762,1982 02 01 12,0.0
763,1982 02 02 12,61.74
764,1982 02 03 12,34.99
765,1982 02 04 12,0.0
766,1982 02 05 12,0.0
767,1982 02 06 12,0.0
768,1982 02 07 12,0.0
769,1982 02 08 12,0.0
770,1982 02 09 12,9.85
771,1982 02 10 12,4.37
772,1982 02 11 12,0.0
773,1982 02 12 12,11.92
774,1982 02 13 12,0.61
775,1982 02 14 12,0.0
776,1982 02 15 12,15.8
777,1982 02 16 12,36.66
778,1982 02 17 12,0.73
779,1982 02 18 12,0.0
780,1982 02 19 12,0.0
781,1982 02 20 12,0.0
782,1982 02 21 12,0.0
783,1982 02 22 12,0.0
784,1982 02 23 12,0.0
785,1982 02 24 12,0.0
786,1982 02 25 12,0.0
787,1982 02 26 12,9.96
788,1982 02 27 12,14.59
789,1982 02 28 12,0.0
790,1982 03 01 12,0.0
791,1982 03 02 12,0.0
792,1982 03 03 12,0.0
793,1982 03 04 12,0.0
794,1982 03 05 12,0.0
795,1982 03 06 12,13.63
796,1982 03 07 12,21.7
797,1982 03 08 12,0.0
798,1982 03 09 12,0.0
799,1982 03 10 12,0.0
800,1982 03 11 12,0.0
801,1982 03 12 12,0.0
802,1982 03 13 12,0.0
803,1982 03 14 12,0.0
804,1982 03 15 12,0.0
805,1982 03 16 12,0.0
806,1982 03 17 12,0.0
807,1982 03 18 12,0.0
808,1982 03 19 12,0.0
809,1982 03 20 12,0.0
810,1982 03 21 12,0.0
811,1982 03 22 12,7.58
812,1982 03 23 12,0.0
813,1982 03 24 12,9.21
814,1982 03 25 12,0.0
815,1982 03 26 12,0.0
816,1982 03 27 12,3.34
817,1982 03 28 12,5.56
818,1982 03 29 12,0.0
819,1982 03 30 12,0.0
820,1982 03 31 12,72.35
821,1982 04 01 12,0.0
822,1982 04 02 12,0.0
823,1982 04 03 12,10.94
824,1982 04 04 12,0.0
825,1982 04 05 12,3.19
826,1982 04 06 12,0.0
827,1982 04 07 12,0.0
828,1982 04 08 12,0.07
829,1982 04 09 12,1.05
830,1982 04 10 12,5.6
831,1982 04 11 12,1.47
832,1982 04 12 12,0.0
833,1982 04 13 12,0.0
834,1982 04 14 12,0.0
835,1982 04 15 12,0.0
836,1982 04 16 12,7.37
837,1982 04 17 12,18.48
838,1982 04 18 12,0.04
839,1982 04 19 12,0.0
840,1982 04 20 12,10.95
841,1982 04 21 12,40.54
842,1982 04 22 12,27.57
843,1982 04 23 12,1.52
844,1982 04 24 12,0.0
845,1982 04 25 12,14.04
846,1982 04 26 12,0.0
847,1982 04 27 12,0.0
848,1982 04 28 12,0.0
849,1982 04 29 12,0.0
850,1982 04 30 12,0.0
851,1982 05 01 12,0.0
852,1982 05 02 12,8.18
853,1982 05 03 12,5.47
854,1982 05 04 12,0.0
855,1982 05 05 12,0.0
856,1982 05 06 12,0.0
857,1982 05 07 12,4.9
858,1982 05 08 12,10.28
859,1982 05 09 12,0.0
860,1982 05 10 12,0.0
861,1982 05 11 12,0.0
862,1982 05 12 12,0.0
863,1982 05 13 12,0.0
864,1982 05 14 12,4.21
865,1982 05 15 12,0.0
866,1982 05 16 12,0.0
867,1982 05 17 12,0.0
868,1982 05 18 12,0.0
869,1982 05 19 12,0.0
870,1982 05 20 12,0.0
871,1982 05 21 12,0.0
872,1982 05 22 12,0.0
873,1982 05 23 12,6.26
874,1982 05 24 12,0.0
875,1982 05 25 12,0.0
876,1982 05 26 12,0.0
877,1982 05 27 12,0.0
878,1982 05 28 12,0.0
879,1982 05 29 12,0.0
880,1982 05 30 12,0.0
881,1982 05 31 12,0.05
882,1982 06 01 12,0.0
883,1982 06 02 12,0.0
884,1982 06 03 12,0.0
885,1982 06 04 12,2.63
886,1982 06 05 12,0.0
887,1982 06 06 12,0.0
888,1982 06 07 12,0.0
889,1982 06 08 12,0.0
890,1982 06 09 12,0.0
891,1982 06 10 12,0.0
892,1982 06 11 12,0.0
893,1982 06 12 12,0.0
894,1982 06 13 12,14.43
895,1982 06 14 12,1.0
896,1982 06 15 12,0.0
897,1982 06 16 12,0.0
898,1982 06 17 12,12.83
899,1982 06 18 12,0.0
900,1982 06 19 12,0.0
901,1982 06 20 12,0.0
902,1982 06 21 12,35.43
903,1982 06 22 12,55.9
904,1982 06 23 12,0.0
905,1982 06 24 12,3.73
906,1982 06 25 12,12.61
907,1982 06 26 12,9.01
908,1982 06 27 12,13.61
909,1982 06 28 12,12.07
910,1982 06 29 12,9.6
911,1982 06 30 12,0.0
912,1982 07 01 12,15.77
913,1982 07 02 12,0.0
914,1982 07 03 12,0.0
915,1982 07 04 12,0.0
916,1982 07 05 12,0.0
917,1982 07 06 12,1.95
918,1982 07 07 12,0.0
919,1982 07 08 12,12.05
920,1982 07 09 12,0.0
921,1982 07 10 12,18.49
922,1982 07 11 12,11.35
923,1982 07 12 12,0.02
924,1982 07 13 12,17.14
925,1982 07 14 12,0.0
926,1982 07 15 12,0.32
927,1982 07 16 12,15.62
928,1982 07 17 12,14.46
929,1982 07 18 12,0.0
